procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769908  11496  98552    0    0     0     0  822 1682  0  0 100  0  0
 0  0      0 12769908  11496  98552    0    0     0     0 1786 3649  0  1 99  0  0
 0  0      0 12769908  11504  98544    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12769908  11504  98544    0    0     0     8  960 1960  0  0 100  0  0
 0  0      0 12769908  11504  98552    0    0     0     0    4   28  0  0 100  0  0
 0  0      0 12769908  11504  98552    0    0     0     0  821 1672  0  0 99  0  0
 0  0      0 12769908  11504  98552    0    0     0     0  961 1961  0  0 99  0  0
 0  0      0 12769908  11504  98552    0    0     0     0 1787 3641  0  1 99  0  0
 0  0      0 12769908  11512  98552    0    0     0    20  822 1692  0  0 100  0  0
 0  0      0 12769908  11512  98552    0    0     0     0 1785 3613  0  1 99  0  0
 0  0      0 12769908  11512  98552    0    0     0     0  820 1681  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769908  11512  98552    0    0     0     0 1640 3337  0  0 99  0  0
 0  0      0 12769908  11512  98552    0    0     0     0 1785 3610  0  1 99  0  0
 1  0      0 12769908  11512  98552    0    0     0     0  367  756  0  0 100  0  0
 0  0      0 12769908  11520  98544    0    0     0    12 1424 2897  0  1 99  0  0
 0  0      0 12769908  11520  98544    0    0     0     0  823 1686  0  1 99  0  0
 0  0      0 12769908  11520  98544    0    0     0     0 1619 3293  0  1 99  0  0
 0  0      0 12769908  11520  98552    0    0     0     0 1436 3723  0  0 99  0  0
 0  0      0 12769908  11520  98552    0    0     0     0   43  194  0  0 100  0  0
 0  0      0 12769908  11520  98552    0    0     0     0  125  537  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0    36    7   36  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0     0    3   29  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0    28    2   24  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11528  98552    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0    12    8   37  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0     0    5   42  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11536  98556    0    0     0     0    3   20  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769908  11544  98548    0    0     0    12    5   30  0  0 100  0  0
 0  0      0 12769908  11544  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11544  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11544  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11544  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11544  98556    0    0     0     0    2   23  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0    20  128  538  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0     0    3   22  0  0 100  0  0
 0  0      0 12769908  11552  98556    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0    20    6   37  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0     0  124  522  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0     0    3   22  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0     4    3   26  0  0 100  0  0
 0  0      0 12769908  11560  98556    0    0     0     0  492 1951  0  0 100  0  0
 0  0      0 12769908  11568  98556    0    0     0    20  420 1692  0  0 100  0  0
 0  0      0 12769908  11568  98556    0    0     0     0    3   30  0  0 100  0  0
 0  0      0 12769780  11568  98556    0    0     0     0  507 1990  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769780  11568  98556    0    0     0     0    3   22  0  0 100  0  0
 0  0      0 12769780  11568  98556    0    0     0     0 1416 5572  0  1 99  0  0
 0  0      0 12769780  11568  98556    0    0     0     0  912 3605  0  0 99  0  0
 0  0      0 12769780  11576  98548    0    0     0    12  415 1682  0  0 100  0  0
 0  0      0 12769780  11576  98548    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769780  11576  98548    0    0     0    12    3   26  0  0 100  0  0
 0  0      0 12769780  11576  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769780  11576  98556    0    0     0     0  425 1708  0  0 100  0  0
 0  0      0 12769780  11576  98556    0    0     0     0  812 3289  0  0 99  0  0
 0  0      0 12769780  11584  98548    0    0     0    12  418 1684  0  0 99  0  0
 0  0      0 12769780  11584  98556    0    0     0     0  413 1672  0  0 100  0  0
 0  0      0 12769780  11584  98556    0    0     0     0  411 1672  0  0 100  0  0
 0  0      0 12769780  11584  98556    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769780  11584  98556    0    0     0     0  573 2310  0  0 100  0  0
 0  0      0 12770032  11584  98556    0    0     0     0    6   33  0  0 100  0  0
 0  0      0 12770032  11592  98548    0    0     0    36    6   32  0  0 100  0  0
 0  0      0 12770032  11592  98548    0    0     0     8    3   28  0  0 100  0  0
 0  0      0 12770032  11592  98548    0    0     0     0  127  536  0  0 100  0  0
 0  0      0 12770032  11592  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12770032  11592  98548    0    0     0     0  501 1962  0  0 100  0  0
 0  0      0 12770032  11592  98560    0    0     0     0  835 3252  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12770032  11600  98560    0    0     0    24  492 1961  0  0 99  0  0
 0  0      0 12770032  11600  98560    0    0     0     0  427 1699  0  0 100  0  0
 0  0      0 12770032  11600  98560    0    0     0     0 1318 5258  0  1 99  0  0
